Train Epoch: [1/60] Loss: -0.0632: 100% 7/7 [00:15<00:00,  2.16s/it]
Train Epoch: [2/60] Loss: -0.2202: 100% 7/7 [00:15<00:00,  2.15s/it]
Train Epoch: [3/60] Loss: -0.3397: 100% 7/7 [00:14<00:00,  2.12s/it]
Train Epoch: [4/60] Loss: -0.4652: 100% 7/7 [00:14<00:00,  2.11s/it]
Train Epoch: [5/60] Loss: -0.5757: 100% 7/7 [00:14<00:00,  2.13s/it]
Train Epoch: [6/60] Loss: -0.6657: 100% 7/7 [00:14<00:00,  2.10s/it]
Train Epoch: [7/60] Loss: -0.7326: 100% 7/7 [00:14<00:00,  2.12s/it]
Train Epoch: [8/60] Loss: -0.7753: 100% 7/7 [00:15<00:00,  2.14s/it]
Train Epoch: [9/60] Loss: -0.8047: 100% 7/7 [00:14<00:00,  2.13s/it]
Train Epoch: [10/60] Loss: -0.8282: 100% 7/7 [00:14<00:00,  2.11s/it]
Train Epoch: [11/60] Loss: -0.8403: 100% 7/7 [00:15<00:00,  2.19s/it]
Train Epoch: [12/60] Loss: -0.8337: 100% 7/7 [00:14<00:00,  2.13s/it]
Train Epoch: [13/60] Loss: -0.8526: 100% 7/7 [00:15<00:00,  2.17s/it]
Train Epoch: [14/60] Loss: -0.8574: 100% 7/7 [00:14<00:00,  2.14s/it]
Train Epoch: [15/60] Loss: -0.8715: 100% 7/7 [00:14<00:00,  2.12s/it]
Train Epoch: [16/60] Loss: -0.8735: 100% 7/7 [00:14<00:00,  2.11s/it]
Train Epoch: [17/60] Loss: -0.8696: 100% 7/7 [00:14<00:00,  2.10s/it]
Train Epoch: [18/60] Loss: -0.8662: 100% 7/7 [00:14<00:00,  2.13s/it]
Train Epoch: [19/60] Loss: -0.8656: 100% 7/7 [00:15<00:00,  2.15s/it]
Train Epoch: [20/60] Loss: -0.8782: 100% 7/7 [00:14<00:00,  2.12s/it]
Train Epoch: [21/60] Loss: -0.8830: 100% 7/7 [00:14<00:00,  2.13s/it]
Train Epoch: [22/60] Loss: -0.8778: 100% 7/7 [00:14<00:00,  2.12s/it]
Train Epoch: [23/60] Loss: -0.8883: 100% 7/7 [00:14<00:00,  2.14s/it]
Train Epoch: [24/60] Loss: -0.8758: 100% 7/7 [00:14<00:00,  2.12s/it]
Train Epoch: [25/60] Loss: -0.8876: 100% 7/7 [00:14<00:00,  2.13s/it]
Train Epoch: [26/60] Loss: -0.8820: 100% 7/7 [00:14<00:00,  2.13s/it]
Train Epoch: [27/60] Loss: -0.8867: 100% 7/7 [00:15<00:00,  2.16s/it]
Train Epoch: [28/60] Loss: -0.8883: 100% 7/7 [00:14<00:00,  2.14s/it]
