Train Epoch: [1/60] Loss: -0.0222: 100% 7/7 [00:18<00:00,  2.69s/it]
Train Epoch: [2/60] Loss: -0.0834: 100% 7/7 [00:18<00:00,  2.70s/it]
Train Epoch: [3/60] Loss: -0.1375: 100% 7/7 [00:18<00:00,  2.68s/it]
Train Epoch: [4/60] Loss: -0.1947: 100% 7/7 [00:18<00:00,  2.67s/it]
Train Epoch: [5/60] Loss: -0.2537: 100% 7/7 [00:18<00:00,  2.68s/it]
Train Epoch: [6/60] Loss: -0.3112: 100% 7/7 [00:19<00:00,  2.75s/it]
Train Epoch: [7/60] Loss: -0.3480: 100% 7/7 [00:19<00:00,  2.75s/it]
Train Epoch: [8/60] Loss: -0.3875: 100% 7/7 [00:19<00:00,  2.76s/it]
Train Epoch: [9/60] Loss: -0.4231: 100% 7/7 [00:19<00:00,  2.76s/it]
Train Epoch: [10/60] Loss: -0.4502: 100% 7/7 [00:19<00:00,  2.77s/it]
Train Epoch: [11/60] Loss: -0.4722: 100% 7/7 [00:19<00:00,  2.74s/it]
Train Epoch: [12/60] Loss: -0.4866: 100% 7/7 [00:18<00:00,  2.69s/it]
Train Epoch: [13/60] Loss: -0.5096: 100% 7/7 [00:18<00:00,  2.70s/it]
Train Epoch: [14/60] Loss: -0.5262: 100% 7/7 [00:18<00:00,  2.68s/it]
Train Epoch: [15/60] Loss: -0.5312: 100% 7/7 [00:18<00:00,  2.70s/it]
Train Epoch: [16/60] Loss: -0.5339: 100% 7/7 [00:18<00:00,  2.70s/it]
Train Epoch: [17/60] Loss: -0.5401: 100% 7/7 [00:18<00:00,  2.70s/it]
Train Epoch: [18/60] Loss: -0.5490: 100% 7/7 [00:18<00:00,  2.67s/it]
Train Epoch: [19/60] Loss: -0.5527: 100% 7/7 [00:18<00:00,  2.71s/it]
Train Epoch: [20/60] Loss: -0.5596: 100% 7/7 [00:18<00:00,  2.69s/it]
Train Epoch: [21/60] Loss: -0.5651: 100% 7/7 [00:18<00:00,  2.69s/it]
Train Epoch: [22/60] Loss: -0.5390: 100% 7/7 [00:18<00:00,  2.66s/it]
Train Epoch: [23/60] Loss: -0.5600: 100% 7/7 [00:18<00:00,  2.69s/it]
Train Epoch: [24/60] Loss: -0.5692: 100% 7/7 [00:18<00:00,  2.68s/it]
Train Epoch: [25/60] Loss: -0.5778: 100% 7/7 [00:18<00:00,  2.68s/it]
Train Epoch: [26/60] Loss: -0.5817: 100% 7/7 [00:19<00:00,  2.72s/it]
Train Epoch: [27/60] Loss: -0.5895: 100% 7/7 [00:18<00:00,  2.68s/it]
Train Epoch: [28/60] Loss: -0.5684: 100% 7/7 [00:18<00:00,  2.69s/it]
Train Epoch: [29/60] Loss: -0.5629: 100% 7/7 [00:18<00:00,  2.69s/it]
Train Epoch: [30/60] Loss: -0.5763: 100% 7/7 [00:18<00:00,  2.69s/it]
Train Epoch: [31/60] Loss: -0.5990: 100% 7/7 [00:18<00:00,  2.68s/it]
Train Epoch: [32/60] Loss: -0.5997: 100% 7/7 [00:18<00:00,  2.71s/it]
Train Epoch: [33/60] Loss: -0.5922: 100% 7/7 [00:18<00:00,  2.69s/it]
Train Epoch: [34/60] Loss: -0.6016: 100% 7/7 [00:18<00:00,  2.68s/it]
Train Epoch: [35/60] Loss: -0.5967: 100% 7/7 [00:19<00:00,  2.72s/it]
Train Epoch: [36/60] Loss: -0.6048: 100% 7/7 [00:18<00:00,  2.69s/it]
Train Epoch: [37/60] Loss: -0.6046: 100% 7/7 [00:18<00:00,  2.68s/it]
Train Epoch: [38/60] Loss: -0.5987: 100% 7/7 [00:18<00:00,  2.70s/it]
Train Epoch: [39/60] Loss: -0.6047: 100% 7/7 [00:18<00:00,  2.67s/it]
Train Epoch: [40/60] Loss: -0.6184: 100% 7/7 [00:18<00:00,  2.67s/it]
Train Epoch: [41/60] Loss: -0.6104: 100% 7/7 [00:18<00:00,  2.63s/it]
Train Epoch: [42/60] Loss: -0.6158: 100% 7/7 [00:18<00:00,  2.68s/it]
Train Epoch: [43/60] Loss: -0.6207: 100% 7/7 [00:18<00:00,  2.61s/it]
